tiers,type,base_size,servings,med_price,low_range,high_range
0,1,4,8,$48.00 ,$45.00 ,$50.00 
3,1,4,8,$73.00 ,$65.00 ,$75.00 
0,0,4,8,$36.00 ,$30.00 ,$40.00 
3,0,4,8,$61.00 ,$55.00 ,$65.00 
0,1,6,12,$72.00 ,$65.00 ,$75.00 
1,1,6,20,$120.00 ,$110.00 ,$125.00 
3,1,6,12,$97.00 ,$85.00 ,$100.00 
0,0,6,12,$54.00 ,$50.00 ,$55.00 
1,0,6,20,$90.00 ,$80.00 ,$95.00 
3,0,6,12,$79.00 ,$70.00 ,$85.00 
0,1,7,16,$96.00 ,$85.00 ,$100.00 
1,1,7,26,$156.00 ,$140.00 ,$165.00 
3,1,7,16,$121.00 ,$110.00 ,$125.00 
0,0,7,16,$72.00 ,$65.00 ,$75.00 
1,0,7,26,$117.00 ,$105.00 ,$125.00 
3,0,7,16,$97.00 ,$85.00 ,$100.00 
0,1,8,20,$120.00 ,$110.00 ,$125.00 
1,1,8,32,$192.00 ,$175.00 ,$200.00 
2,1,8,40,$240.00 ,$215.00 ,$250.00 
3,1,8,20,$145.00 ,$130.00 ,$150.00 
0,0,8,20,$90.00 ,$80.00 ,$95.00 
1,0,8,32,$144.00 ,$130.00 ,$150.00 
2,0,8,40,$180.00 ,$160.00 ,$190.00 
3,0,8,20,$115.00 ,$105.00 ,$120.00 
0,1,9,24,$144.00 ,$130.00 ,$150.00 
1,1,9,40,$240.00 ,$215.00 ,$250.00 
2,1,9,50,$300.00 ,$270.00 ,$315.00 
3,1,9,24,$169.00 ,$150.00 ,$175.00 
0,0,9,24,$108.00 ,$95.00 ,$115.00 
1,0,9,40,$180.00 ,$160.00 ,$190.00 
2,0,9,40,$180.00 ,$160.00 ,$190.00 
3,0,9,24,$133.00 ,$120.00 ,$140.00 
0,1,10,28,$168.00 ,$150.00 ,$175.00 
1,1,10,48,$288.00 ,$260.00 ,$300.00 
2,1,10,60,$360.00 ,$325.00 ,$380.00 
3,1,10,28,$193.00 ,$175.00 ,$205.00 
0,0,10,28,$126.00 ,$115.00 ,$130.00 
1,0,10,48,$216.00 ,$195.00 ,$225.00 
2,0,10,60,$270.00 ,$245.00 ,$285.00 
3,0,10,28,$151.00 ,$135.00 ,$160.00 
0,1,12,40,$240.00 ,$215.00 ,$250.00 
1,1,12,68,$408.00 ,$365.00 ,$430.00 
2,1,12,90,$540.00 ,$485.00 ,$565.00 
3,1,12,40,$265.00 ,$240.00 ,$280.00 
0,0,12,40,$180.00 ,$160.00 ,$190.00 
1,0,12,70,$315.00 ,$285.00 ,$330.00 
2,0,12,90,$405.00 ,$365.00 ,$425.00 
3,0,12,40,$205.00 ,$185.00 ,$215.00 
0,1,14,64,$384.00 ,$345.00 ,$405.00 
1,1,14,105,$630.00 ,$565.00 ,$660.00 
2,1,14,130,$780.00 ,$700.00 ,$820.00 
3,1,14,64,$409.00 ,$370.00 ,$430.00 
0,0,14,64,$288.00 ,$260.00 ,$300.00 
1,0,14,105,$472.50 ,$425.00 ,$495.00 
2,0,14,130,$585.00 ,$525.00 ,$615.00 
3,0,14,64,$313.00 ,$280.00 ,$330.00 
0,1,16,76,$456.00 ,$410.00 ,$480.00 
1,1,16,140,$840.00 ,$755.00 ,$880.00 
2,1,16,180,"$1,080.00 ",$970.00 ,"$1,135.00 "
3,1,16,76,$481.00 ,$435.00 ,$505.00 
0,0,16,76,$342.00 ,$310.00 ,$360.00 
1,0,16,140,$630.00 ,$565.00 ,$660.00 
2,0,16,180,$810.00 ,$730.00 ,$850.00 
3,0,16,76,$367.00 ,$330.00 ,$385.00 
